id,area,amoblado,numero_habitaciones
120001,67,87,0,3
120002,26,68,1,1
120003,77,99,1,3
120004,42,25,1,1
120005,79,93,0,1
120006,79,75,0,3
120007,53,72,1,4
120008,48,10,0,4
120009,65,04,0,2
120010,67,12,1,4
120011,44,27,0,3
120012,62,97,1,1
120013,56,42,0,4
120014,59,16,1,2
120015,78,29,1,3
120016,73,85,0,4
120017,64,17,1,4
120018,38,86,1,1
120019,59,21,0,3
120020,51,11,1,1
120021,52,18,1,2
120022,42,58,1,1
120023,41,93,1,3
120024,52,54,0,3
120025,33,55,1,2
120026,75,56,0,1
120027,49,56,1,1
120028,78,15,0,2
120029,30,27,1,1
120030,31,73,0,1
120031,68,25,1,4
120032,73,50,0,1
120033,62,01,1,4
120034,54,43,1,1
120035,49,30,0,4
120036,30,07,1,3
120037,35,76,1,3
120038,60,62,1,1
120039,47,23,0,2
120040,51,73,1,1
120041,73,59,0,4
120042,66,44,1,2
120043,50,69,0,3
120044,35,14,0,3
120045,69,31,0,4
120046,62,83,0,2
120047,37,39,1,4
120048,32,36,0,3
120049,29,75,1,1
120050,44,88,1,4
120051,56,54,0,2
120052,58,10,0,2
120053,67,49,1,1
120054,39,06,0,1
120055,43,13,0,3
120056,66,56,1,4
120057,58,22,1,2
120058,38,18,1,4
120059,73,37,0,4
120060,59,08,0,2
120061,73,79,0,4
120062,55,56,1,4
120063,64,80,0,2
120064,37,28,0,2
120065,76,74,0,4
120066,78,27,1,1
120067,44,62,1,1
120068,68,71,1,1
120069,43,48,1,3
120070,32,43,0,4
120071,65,24,0,4
120072,74,02,1,3
120073,57,54,1,2
120074,70,31,0,1
120075,42,19,0,1
120076,27,57,0,2
120077,45,49,1,2
120078,65,50,0,1
120079,35,44,1,3
120080,39,01,1,4
120081,57,12,0,2
120082,73,46,1,4
120083,53,33,0,2
120084,57,36,1,1
120085,52,33,1,4
120086,44,91,1,1
120087,53,60,0,1
120088,27,96,1,2
120089,56,12,1,3
120090,62,08,0,2
120091,68,85,1,2
120092,70,02,0,2
120093,58,47,1,2
120094,29,11,0,4
120095,61,95,0,1
120096,70,91,1,1
120097,28,91,0,3
120098,30,24,1,2
120099,44,40,1,1
120100,32,43,1,2
120101,61,27,1,1
120102,75,38,0,1
120103,62,58,1,2
120104,25,04,1,1
120105,52,47,0,2
120106,50,16,1,2
120107,58,10,0,2
120108,39,59,1,2
120109,44,16,1,1
120110,52,60,1,3
120111,35,67,0,3
120112,45,94,0,4
120113,65,36,0,2
120114,43,55,1,1
120115,77,84,1,2
120116,36,89,1,4
120117,49,90,0,4
120118,78,41,0,1
120119,67,56,0,4
120120,72,83,0,1
120121,36,18,1,1
120122,43,49,0,2
120123,49,28,1,1
120124,72,84,1,1
120125,29,19,1,4
120126,52,44,0,4
120127,74,38,0,2
120128,53,73,1,1
120129,70,76,0,3
120130,74,92,0,3
120131,63,78,0,3
120132,26,37,1,4
120133,59,02,1,4
120134,71,26,1,1
120135,31,55,0,2
120136,48,43,1,4
120137,71,80,1,3
120138,79,28,1,3
120139,45,29,0,1
120140,58,51,1,1
120141,50,03,0,2
120142,79,02,0,1
120143,73,18,0,3
120144,58,89,1,3
120145,29,32,0,2
120146,30,20,1,2
120147,50,02,1,2
120148,38,57,0,4
120149,55,17,1,4
120150,71,73,1,4
120151,32,87,0,2
120152,56,82,1,3
120153,28,26,1,4
120154,52,25,0,2
120155,69,36,1,1
120156,73,44,0,2
120157,29,82,0,1
120158,45,39,1,1
120159,69,70,0,3
120160,58,29,0,2
120161,77,66,0,4
120162,26,09,0,2
120163,49,24,1,4
120164,79,26,1,3
120165,32,04,0,1
120166,51,13,1,3
120167,25,09,1,4
120168,43,81,0,2
120169,37,72,0,1
120170,32,36,1,2
120171,47,27,1,4
120172,49,80,0,4
120173,71,18,0,3
120174,44,30,0,3
120175,47,35,1,1
120176,30,80,0,3
120177,41,94,1,3
120178,71,33,1,1
120179,77,23,1,3
120180,67,40,0,4
120181,38,75,0,3
120182,33,36,0,4
120183,77,94,0,2
120184,34,99,0,1
120185,30,74,1,2
120186,29,51,0,1
120187,75,06,1,3
120188,27,49,0,3
120189,49,77,1,4
120190,61,49,1,2
120191,26,73,0,1
120192,50,64,0,3
120193,44,55,0,1
120194,71,55,1,2
120195,65,78,1,2
120196,26,95,1,2
120197,53,92,1,2
120198,40,63,0,3
120199,78,40,1,1
120200,42,56,1,2
120201,28,80,0,3
120202,42,69,1,3
120203,70,15,0,2
120204,63,20,1,4
120205,29,17,1,3
120206,76,54,0,1
120207,63,83,1,1
120208,74,69,0,1
120209,52,39,0,3
120210,77,44,1,4
120211,54,59,0,2
120212,38,13,0,4
120213,77,16,1,3
120214,29,28,0,2
120215,28,92,0,4
120216,77,71,1,4
120217,56,24,1,3
120218,69,80,0,1
120219,31,05,1,1
120220,77,09,1,1
120221,48,61,0,1
120222,79,17,1,4
120223,38,65,0,4
120224,43,33,1,3
120225,39,43,1,3
120226,33,57,0,4
120227,57,50,0,4
120228,54,80,1,2
120229,62,59,0,4
120230,28,51,1,1
120231,74,77,0,2
120232,37,02,1,4
120233,63,30,1,1
120234,75,61,1,1
120235,71,58,0,3
120236,79,28,0,4
120237,70,31,1,3
120238,39,84,0,3
120239,63,30,0,2
120240,45,61,0,3
120241,57,46,1,3
120242,27,37,1,2
120243,42,11,1,1
120244,79,26,1,3
120245,30,47,0,2
120246,67,85,0,1
120247,37,40,1,1
120248,58,49,1,1
120249,28,79,0,4
120250,76,40,0,4
120251,36,74,0,1
120252,49,29,1,2
120253,78,12,1,2
120254,37,79,0,1
120255,77,97,0,3
120256,28,93,0,3
120257,56,48,1,4
120258,49,11,1,2
120259,72,87,1,4
120260,63,90,0,3
120261,41,28,1,4
120262,50,51,0,1
120263,59,75,1,2
120264,59,27,0,2
120265,42,06,0,1
120266,73,11,1,3
120267,77,23,1,1
120268,74,76,1,3
120269,55,79,0,4
120270,73,65,0,3
120271,27,43,1,2
120272,64,62,1,2
120273,75,82,1,3
120274,50,46,0,4
120275,54,36,1,1
120276,78,72,0,4
120277,66,74,1,2
120278,52,66,0,3
120279,44,68,0,4
120280,40,39,1,3
120281,68,48,1,3
120282,50,06,0,1
120283,71,01,0,4
120284,47,07,0,2
120285,48,47,0,2
120286,49,39,1,3
120287,73,92,0,4
120288,44,17,0,4
120289,70,07,1,1
120290,66,45,0,2
120291,29,15,0,3
120292,60,52,1,4
120293,43,71,0,3
120294,44,17,1,3
120295,44,03,0,1
120296,52,75,1,1
120297,58,61,1,1
120298,44,08,1,1
120299,48,26,1,2
120300,65,71,1,4
120301,51,27,0,3
120302,58,24,1,2
120303,45,92,1,3
120304,43,02,1,4
120305,62,26,1,3
120306,56,31,1,1
120307,26,74,1,3
120308,65,61,0,3
120309,48,65,1,3
120310,47,09,1,1
120311,57,41,0,4
120312,31,29,1,1
120313,29,97,1,4
120314,29,08,0,1
120315,68,35,1,2
120316,66,56,1,1
120317,55,94,0,1
120318,28,88,1,3
120319,27,44,0,4
120320,55,43,1,3
120321,76,13,1,4
120322,50,46,1,1
120323,76,44,0,1
120324,53,20,1,1
120325,37,37,1,1
120326,75,09,0,3
120327,78,94,1,1
120328,34,20,0,4
120329,64,89,0,2
120330,54,71,0,1
120331,41,34,0,3
120332,25,86,1,2
120333,45,59,0,2
120334,25,31,0,1
120335,67,64,0,3
120336,55,81,0,2
120337,58,56,0,4
120338,64,09,1,4
120339,35,69,1,1
120340,29,15,1,1
120341,49,12,0,3
120342,63,78,1,3
120343,79,43,1,2
120344,27,60,0,3
120345,68,47,1,1
120346,43,00,1,4
120347,26,69,0,4
120348,43,31,0,1
120349,58,21,0,2
120350,35,46,1,3
120351,29,95,0,4
120352,62,40,1,2
120353,39,36,0,1
120354,56,25,1,1
120355,78,93,1,4
120356,43,45,0,1
120357,63,57,1,4
120358,57,51,1,3
120359,69,97,0,1
120360,26,54,1,4
120361,74,93,0,3
120362,48,05,1,4
120363,53,01,1,2
120364,63,85,1,1
120365,68,90,0,4
120366,62,50,0,4
120367,59,61,1,3
120368,34,42,1,4
120369,36,91,1,2
120370,26,17,0,3
120371,44,94,1,4
120372,26,54,0,2
120373,70,58,1,3
120374,45,00,0,2
120375,62,84,1,1
120376,63,03,0,1
120377,59,43,1,1
120378,59,15,0,3
120379,71,00,0,2
120380,51,91,0,3
120381,56,00,1,3
120382,42,68,1,1
120383,75,25,0,2
120384,41,74,0,1
120385,40,83,1,3
120386,64,47,1,4
120387,68,80,0,2
120388,64,49,1,2
120389,77,13,0,2
120390,51,97,0,3
120391,62,70,0,2
120392,38,55,1,4
120393,60,58,1,1
120394,33,20,1,4
120395,43,47,1,4
120396,37,39,0,2
120397,30,63,0,4
120398,37,94,0,4
120399,58,38,0,3
120400,40,10,1,2
120401,71,80,1,1
120402,77,82,1,4
120403,73,02,1,3
120404,39,51,0,1
120405,28,20,0,4
120406,67,23,0,2
120407,39,03,1,1
120408,38,64,1,1
120409,63,81,0,3
120410,35,62,1,1
120411,28,18,1,2
120412,54,96,1,2
120413,62,57,0,1
120414,26,43,0,2
120415,29,72,1,2
120416,43,88,0,4
120417,31,33,0,4
120418,77,16,1,4
120419,62,93,1,3
120420,48,51,1,4
120421,74,79,0,3
120422,44,77,0,3
120423,74,85,0,1
120424,50,00,1,2
120425,41,48,1,2
120426,59,50,0,4
120427,63,39,1,2
120428,36,59,0,3
120429,77,77,0,3
120430,67,17,1,2
120431,79,30,0,4
120432,29,11,1,1
120433,36,49,1,1
120434,72,94,1,1
120435,58,43,1,2
120436,45,29,1,4
120437,42,21,1,1
120438,67,17,1,2
120439,37,48,1,1
120440,38,17,0,1
120441,58,31,1,3
120442,54,89,1,3
120443,40,87,0,2
120444,44,46,0,3
120445,69,36,0,4
120446,41,49,1,3
120447,33,62,0,1
120448,44,14,1,2
120449,74,72,0,2
120450,55,43,0,1
120451,46,77,1,4
120452,71,17,0,2
120453,69,45,0,2
120454,34,20,0,2
120455,30,48,0,4
120456,26,46,1,4
120457,70,14,0,2
120458,48,85,1,2
120459,67,55,1,4
120460,72,63,1,4
120461,35,81,1,1
120462,75,49,1,3
120463,65,43,0,2
120464,76,60,1,4
120465,41,61,0,1
120466,71,47,0,1
120467,41,96,1,4
120468,32,45,0,2
120469,51,44,1,1
120470,75,44,1,2
120471,31,72,0,4
120472,57,03,0,4
120473,61,75,0,1
120474,40,61,1,4
120475,72,04,0,2
120476,44,04,1,2
120477,78,47,1,2
120478,30,26,0,2
120479,38,33,1,1
120480,42,85,0,3
120481,31,36,1,2
120482,32,92,0,1
120483,30,90,0,3
120484,74,15,0,2
120485,66,52,1,3
120486,61,16,0,1
120487,38,85,0,3
120488,30,90,0,1
120489,34,36,0,3
120490,67,86,1,4
120491,55,23,0,1
120492,71,11,0,2
120493,27,65,0,3
120494,41,88,0,2
120495,58,76,1,3
120496,39,21,1,4
120497,28,44,0,4
120498,75,47,1,4
120499,60,86,0,2
120500,47,91,0,4
