id-area-amoblado-numero_habitaciones-noches_anio-seguro
150001-72,93-0-3-15-1
150002-55,23-0-1-19-2
150003-70,58-0-4-26-3
150004-51,29-0-1-15-4
150005-78,74-0-1-5-5
150006-55,19-0-2-20-6
150007-44,67-1-2-10-7
150008-79,38-0-3-27-8
150009-40,47-0-3-28-9
150010-40,11-0-2-18-10
150011-49,48-0-4-1-11
150012-34,53-0-1-23-12
150013-49,32-0-4-26-13
150014-63,97-0-3-21-14
150015-77,52-0-4-21-15
150016-73,97-1-1-17-16
150017-39,35-1-1-18-17
150018-73,94-0-4-13-18
150019-48,13-1-2-20-19
150020-40,91-1-4-15-20
150021-41,49-1-3-2-21
150022-69,81-1-4-12-22
150023-51,31-1-1-13-23
150024-78,02-0-1-1-24
150025-44,71-1-3-19-25
150026-50,66-1-4-28-26
150027-67,56-1-1-25-27
150028-36,27-0-1-26-28
150029-45,90-0-4-17-29
150030-42,37-0-4-18-30
150031-42,39-1-3-18-31
150032-47,13-1-1-27-32
150033-47,57-0-1-11-33
150034-41,44-1-1-9-34
150035-33,68-1-4-22-35
150036-48,06-1-4-1-36
150037-33,59-0-2-2-37
150038-76,43-1-2-7-38
150039-49,12-0-4-15-39
150040-48,72-0-3-22-40
150041-67,31-0-1-26-41
150042-72,96-0-3-18-42
150043-26,74-1-3-18-43
150044-54,31-1-3-18-44
150045-33,44-0-3-1-45
150046-78,81-0-2-19-46
150047-74,24-1-1-29-47
150048-48,37-0-4-22-48
150049-62,42-1-3-2-49
150050-46,49-1-3-10-50
150051-45,98-0-4-22-51
150052-47,29-0-1-27-52
150053-55,13-0-3-15-53
150054-58,35-1-2-28-54
150055-37,66-0-3-7-55
150056-28,41-1-4-10-56
150057-68,19-1-2-4-57
150058-39,51-0-3-1-58
150059-62,71-0-2-26-59
150060-39,00-0-3-24-60
150061-34,24-0-1-9-61
150062-51,72-0-2-11-62
150063-79,52-0-3-17-63
150064-69,34-1-1-22-64
150065-79,83-1-1-9-65
150066-48,12-0-4-21-66
150067-47,46-0-3-15-67
150068-66,82-0-2-21-68
150069-67,03-0-3-26-69
150070-47,61-1-2-17-70
150071-57,23-0-2-3-71
150072-47,79-0-1-9-72
