id,cantidad,fecha,operador
1,1268,2020/05/1,1
2,994,2020/05/1,2
3,1660,2020/05/1,3
4,979,2020/05/1,4
5,1919,2020/05/1,5
6,1521,2020/05/1,6
7,658,2020/05/1,7
8,855,2020/05/1,8
9,281,2020/05/1,9
10,1160,2020/05/1,10
11,354,2020/05/1,11
12,1004,2020/05/1,12
13,1519,2020/05/1,13
14,791,2020/05/1,14
15,1949,2020/05/1,15
16,1110,2020/05/1,16
17,393,2020/05/1,17
18,322,2020/05/1,18
19,202,2020/05/1,19
20,1141,2020/05/1,20
21,252,2020/05/1,21
22,610,2020/05/1,22
23,1933,2020/05/1,23
24,776,2020/05/1,24
25,1875,2020/05/1,25
26,1766,2020/05/1,26
27,911,2020/05/1,27
28,59,2020/05/1,28
29,1916,2020/05/1,29
30,64,2020/05/1,30
31,1408,2020/05/1,31
32,420,2020/05/1,32
33,1134,2020/05/1,33
34,1636,2020/05/1,34
35,1537,2020/05/1,35
36,1175,2020/05/1,36
37,707,2020/05/1,37
38,1080,2020/05/1,38
39,1135,2020/05/1,39
40,1206,2020/05/1,40
41,6,2020/05/1,41
42,543,2020/05/1,42
43,722,2020/05/1,43
44,485,2020/05/1,44
45,56,2020/05/1,45
46,1532,2020/05/1,46
47,1311,2020/05/1,47
48,1547,2020/05/1,48
49,851,2020/05/1,49
50,1796,2020/05/1,50
51,167,2020/05/1,51
52,164,2020/05/1,52
53,263,2020/05/1,53
54,1826,2020/05/1,54
55,277,2020/05/1,55
56,1828,2020/05/1,56
57,1716,2020/05/1,57
58,1128,2020/05/1,58
59,422,2020/05/1,59
60,582,2020/05/1,60
61,65,2020/05/1,61
62,488,2020/05/1,62
63,804,2020/05/1,63
64,1805,2020/05/1,64
65,962,2020/05/1,65
66,1431,2020/05/1,66
67,295,2020/05/1,67
68,1918,2020/05/1,68
69,1888,2020/05/1,69
70,1141,2020/05/1,70
71,53,2020/05/1,71
72,766,2020/05/1,72
73,1787,2020/05/1,73
74,1578,2020/05/1,74
75,1627,2020/05/1,75
76,2000,2020/05/1,76
77,807,2020/05/1,77
78,584,2020/05/1,78
79,108,2020/05/1,79
80,1969,2020/05/1,80
81,306,2020/05/1,81
82,1445,2020/05/1,82
83,1048,2020/05/1,83
84,1976,2020/05/1,84
85,880,2020/05/1,85
86,376,2020/05/1,86
87,280,2020/05/1,87
88,1523,2020/05/1,88
89,1925,2020/05/1,89
90,1056,2020/05/1,90
91,62,2020/05/1,91
92,1877,2020/05/1,92
93,1861,2020/05/1,93
94,1943,2020/05/1,94
95,1784,2020/05/1,95
96,1044,2020/05/1,96
97,1057,2020/05/1,97
98,386,2020/05/1,98
99,1564,2020/05/1,99
100,1112,2020/05/1,100
101,901,2020/05/1,101
102,1664,2020/05/1,102
103,1524,2020/05/1,103
104,1893,2020/05/1,104
105,681,2020/05/1,105
106,1950,2020/05/1,106
107,1411,2020/05/1,107
108,1800,2020/05/1,108
109,1063,2020/05/1,109
110,1503,2020/05/1,110
111,1705,2020/05/1,111
112,1001,2020/05/1,112
113,241,2020/05/1,113
114,253,2020/05/1,114
115,140,2020/05/1,115
116,268,2020/05/1,116
117,1690,2020/05/1,117
118,1263,2020/05/1,118
119,149,2020/05/1,119
120,483,2020/05/1,120
121,1844,2020/05/1,121
122,642,2020/05/1,122
123,838,2020/05/1,123
124,1229,2020/05/1,124
125,1235,2020/05/1,125
126,1970,2020/05/1,126
127,536,2020/05/1,127
128,1387,2020/05/1,128
129,197,2020/05/1,129
130,1829,2020/05/1,130
131,202,2020/05/1,131
132,89,2020/05/1,132
133,372,2020/05/1,133
134,805,2020/05/1,134
135,1164,2020/05/1,135
136,1682,2020/05/1,136
137,519,2020/05/1,137
138,1409,2020/05/1,138
139,1131,2020/05/1,139
140,1762,2020/05/1,140
141,211,2020/05/1,141
142,1217,2020/05/1,142
143,1002,2020/05/1,143
144,686,2020/05/1,144
145,457,2020/05/1,145
