id,tipo_habitacion,numero,capacidad
1,SUITE,796,4
2,SUITE,664,2
3,ESTANDAR,180,3
4,SEMISUITE,311,2
5,SEMISUITE,622,1
6,ESTANDAR,638,3
7,ESTANDAR,804,3
8,SUITE,128,4
9,ESTANDAR,747,3
10,ESTANDAR,530,3
11,SUITE,375,3
12,SUITE,320,4
13,SEMISUITE,465,2
14,ESTANDAR,472,4
15,ESTANDAR,157,3
16,SEMISUITE,715,4
17,SEMISUITE,184,1
18,SUITE,328,1
19,ESTANDAR,523,1
20,ESTANDAR,611,3
21,SEMISUITE,260,3
22,ESTANDAR,833,2
23,SEMISUITE,285,4
24,SEMISUITE,258,2
25,ESTANDAR,550,1
26,SEMISUITE,680,1
27,ESTANDAR,323,4
28,ESTANDAR,764,4
29,SEMISUITE,685,3
30,SUITE,657,2
31,ESTANDAR,376,2
32,SUITE,885,1
33,SUITE,568,3
34,ESTANDAR,397,1
35,ESTANDAR,413,2
36,SEMISUITE,391,4
37,ESTANDAR,511,1
38,SUITE,394,4
39,ESTANDAR,418,1
40,SEMISUITE,369,1
41,SEMISUITE,379,1
42,SEMISUITE,537,1
43,ESTANDAR,177,3
44,SEMISUITE,811,2
45,SEMISUITE,871,4
46,SEMISUITE,338,1
47,ESTANDAR,240,4
48,ESTANDAR,680,2
49,SUITE,634,1
50,SUITE,100,4
51,SUITE,142,4
52,ESTANDAR,553,2
53,SUITE,437,3
54,SUITE,830,1
55,SUITE,582,1
56,SUITE,107,3
57,ESTANDAR,269,2
58,SEMISUITE,238,4
59,ESTANDAR,233,3
60,ESTANDAR,400,2
61,SUITE,520,3
62,ESTANDAR,609,4
63,SUITE,550,2
64,ESTANDAR,320,4
65,ESTANDAR,150,1
66,ESTANDAR,781,1
67,SUITE,792,1
68,ESTANDAR,706,4
69,ESTANDAR,677,4
70,ESTANDAR,846,4
71,SUITE,677,4
72,SEMISUITE,104,3
73,SEMISUITE,248,2
74,SUITE,101,1
75,SUITE,364,3
76,SEMISUITE,878,2
77,SUITE,104,4
78,ESTANDAR,185,2
79,ESTANDAR,581,4
80,ESTANDAR,766,2
81,ESTANDAR,102,1
82,ESTANDAR,345,1
83,SEMISUITE,682,3
84,SEMISUITE,555,4
85,SUITE,382,4
86,SEMISUITE,364,1
87,SUITE,715,4
88,SUITE,495,2
89,SUITE,760,1
90,SEMISUITE,413,2
91,SEMISUITE,258,1
92,SEMISUITE,286,4
93,SEMISUITE,124,3
94,SEMISUITE,194,4
95,SUITE,653,4
96,SUITE,388,1
97,SEMISUITE,736,3
98,SUITE,253,4
99,SUITE,455,2
100,ESTANDAR,706,1
101,SUITE,490,4
102,SUITE,488,1
103,SUITE,454,3
104,ESTANDAR,228,3
105,SUITE,784,2
106,SEMISUITE,236,1
107,SEMISUITE,497,3
108,ESTANDAR,111,2
109,ESTANDAR,327,2
110,SUITE,448,3
111,SEMISUITE,237,3
112,SEMISUITE,573,1
113,SEMISUITE,852,1
114,SEMISUITE,519,3
115,SEMISUITE,381,3
116,SUITE,328,1
117,SUITE,389,4
118,SUITE,619,3
119,ESTANDAR,265,2
120,SEMISUITE,892,2
121,SEMISUITE,685,2
122,ESTANDAR,278,3
123,SUITE,750,1
124,SUITE,567,1
125,SUITE,276,2
126,SUITE,585,1
127,ESTANDAR,678,4
128,ESTANDAR,554,3
129,ESTANDAR,499,3
130,SEMISUITE,735,1
131,SEMISUITE,520,4
132,ESTANDAR,802,4
133,SEMISUITE,310,4
134,SUITE,144,4
135,SEMISUITE,197,3
136,SEMISUITE,142,1
137,SEMISUITE,599,3
138,SUITE,491,4
139,SUITE,553,4
140,SEMISUITE,186,4
141,ESTANDAR,294,3
142,SUITE,106,3
143,SEMISUITE,232,1
144,SEMISUITE,452,2
145,ESTANDAR,232,2
146,SEMISUITE,711,3
147,ESTANDAR,397,3
148,SUITE,300,2
149,SEMISUITE,335,1
150,ESTANDAR,680,2
151,SEMISUITE,722,2
152,SEMISUITE,344,1
153,ESTANDAR,288,3
154,SUITE,273,4
155,SUITE,371,4
156,ESTANDAR,399,3
157,SUITE,851,1
158,ESTANDAR,773,4
159,ESTANDAR,232,2
160,SEMISUITE,615,2
161,SEMISUITE,401,1
162,SEMISUITE,765,1
163,ESTANDAR,587,2
164,ESTANDAR,782,4
165,SUITE,506,1
166,ESTANDAR,637,1
167,SEMISUITE,131,4
168,SEMISUITE,145,4
169,ESTANDAR,166,3
170,SEMISUITE,807,3
171,SUITE,748,3
172,SUITE,120,1
173,SUITE,439,3
174,ESTANDAR,847,2
175,ESTANDAR,571,1
176,ESTANDAR,501,3
177,SUITE,448,4
178,SEMISUITE,662,3
179,SUITE,712,4
180,ESTANDAR,275,3
181,ESTANDAR,761,3
182,ESTANDAR,841,2
183,SEMISUITE,838,2
184,SUITE,169,3
185,SEMISUITE,805,1
186,ESTANDAR,836,4
187,SEMISUITE,488,4
188,SEMISUITE,161,3
189,SEMISUITE,289,3
190,SEMISUITE,461,1
191,ESTANDAR,369,3
192,ESTANDAR,359,1
193,ESTANDAR,261,2
194,SUITE,271,1
195,ESTANDAR,340,2
196,SUITE,537,4
197,SUITE,764,1
198,SEMISUITE,104,4
199,ESTANDAR,591,4
200,ESTANDAR,510,1
201,SEMISUITE,183,3
202,SUITE,670,1
203,ESTANDAR,458,4
204,SEMISUITE,176,4
205,SEMISUITE,818,3
206,ESTANDAR,399,1
207,ESTANDAR,553,2
208,SEMISUITE,609,2
209,ESTANDAR,566,2
210,ESTANDAR,134,4
211,SEMISUITE,656,3
212,SUITE,516,4
213,SUITE,385,4
214,SUITE,445,3
215,SUITE,454,4
216,SEMISUITE,375,3
217,SUITE,776,1
218,SUITE,724,1
219,ESTANDAR,480,2
220,SEMISUITE,714,4
221,SUITE,407,3
222,SEMISUITE,449,2
223,SEMISUITE,623,3
224,SUITE,437,4
225,SUITE,223,4
226,SEMISUITE,473,1
227,ESTANDAR,842,3
228,SEMISUITE,105,3
229,ESTANDAR,488,3
230,ESTANDAR,290,2
231,ESTANDAR,381,2
232,SUITE,267,1
233,SUITE,838,3
234,SEMISUITE,358,1
235,SEMISUITE,749,1
236,SEMISUITE,531,1
237,SEMISUITE,512,1
238,ESTANDAR,833,2
239,ESTANDAR,282,3
240,ESTANDAR,378,4
241,SUITE,897,1
242,SUITE,311,4
243,SUITE,209,3
244,ESTANDAR,734,2
245,SEMISUITE,459,2
246,SEMISUITE,622,3
247,SEMISUITE,122,3
248,SEMISUITE,859,3
249,SUITE,413,3
250,ESTANDAR,614,2
251,SUITE,634,1
252,SEMISUITE,888,2
253,SEMISUITE,357,2
254,SUITE,710,3
255,SUITE,190,2
256,SEMISUITE,621,1
257,SEMISUITE,462,4
258,SUITE,695,3
259,SUITE,113,1
260,ESTANDAR,129,4
261,SEMISUITE,284,4
262,SEMISUITE,622,2
263,SUITE,675,3
264,SUITE,597,1
265,SUITE,396,3
266,SEMISUITE,851,4
267,ESTANDAR,866,3
268,ESTANDAR,270,1
269,SUITE,185,1
270,SEMISUITE,657,3
271,SUITE,484,4
272,ESTANDAR,249,2
273,SEMISUITE,389,4
274,SEMISUITE,243,4
275,SUITE,756,2
276,ESTANDAR,411,1
277,SEMISUITE,837,2
278,ESTANDAR,878,4
279,SUITE,897,2
280,SEMISUITE,458,2
281,SEMISUITE,371,4
282,ESTANDAR,554,1
283,SEMISUITE,381,2
284,SEMISUITE,782,1
285,SEMISUITE,673,4
286,SUITE,115,2
287,SUITE,114,3
288,SEMISUITE,603,4
289,SEMISUITE,877,4
290,SEMISUITE,314,4
291,SUITE,555,3
292,ESTANDAR,152,1
293,ESTANDAR,105,4
294,ESTANDAR,664,4
295,SUITE,303,2
296,SUITE,641,1
297,ESTANDAR,534,4
298,SEMISUITE,853,4
299,SUITE,254,1
300,SUITE,648,2
301,SUITE,359,4
302,SEMISUITE,260,4
303,SUITE,105,1
304,SEMISUITE,329,2
305,SEMISUITE,538,1
306,ESTANDAR,397,4
307,SEMISUITE,707,4
308,ESTANDAR,350,1
309,ESTANDAR,164,4
310,SEMISUITE,587,1
311,SEMISUITE,470,3
312,ESTANDAR,387,3
313,SUITE,586,1
314,SEMISUITE,850,3
315,SUITE,834,4
316,SEMISUITE,769,1
317,ESTANDAR,507,4
318,ESTANDAR,800,2
319,ESTANDAR,301,3
320,SEMISUITE,349,3
321,ESTANDAR,397,2
322,SUITE,704,1
323,ESTANDAR,654,1
324,SEMISUITE,656,4
325,SEMISUITE,791,2
326,ESTANDAR,799,1
327,ESTANDAR,801,3
328,ESTANDAR,256,4
329,ESTANDAR,404,2
330,SEMISUITE,140,1
331,ESTANDAR,837,3
332,SUITE,546,1
333,SEMISUITE,601,2
334,SUITE,373,4
335,SEMISUITE,250,4
336,SEMISUITE,392,3
337,ESTANDAR,269,3
338,SEMISUITE,656,1
339,SEMISUITE,615,1
340,ESTANDAR,548,4
341,SEMISUITE,226,2
342,ESTANDAR,755,1
343,SEMISUITE,741,4
344,SUITE,189,1
345,SEMISUITE,813,3
346,SEMISUITE,756,2
347,ESTANDAR,428,3
348,SEMISUITE,217,1
349,ESTANDAR,155,1
350,ESTANDAR,452,1
351,ESTANDAR,112,2
352,ESTANDAR,891,2
353,ESTANDAR,595,1
