id,tipo_hoteleria,hora_apertura,hora_cierre
1,HOTEL,10:14:33,14:49:01
2,HOTEL,7:42:50,17:02:01
3,HOSTAL,8:23:28,22:54:04
4,HOTEL,2:21:55,22:14:04
5,HOTEL,11:50:03,19:09:01
6,HOTEL,1:38:53,16:06:21
7,HOTEL,9:20:32,16:12:52
8,HOSTAL,0:18:02,21:47:13
9,HOSTAL,0:32:59,18:55:17
10,HOTEL,11:22:27,20:28:18
11,HOTEL,9:56:53,19:59:15
12,HOSTAL,6:20:47,23:45:47
13,HOSTAL,1:40:16,22:08:24
14,HOTEL,8:09:08,20:55:08
15,HOSTAL,3:16:44,18:38:55
16,HOSTAL,5:18:00,13:17:37
17,HOSTAL,4:10:54,14:55:30
18,HOTEL,7:54:36,13:21:02
19,HOSTAL,1:58:46,15:28:57
20,HOTEL,9:21:17,16:54:39
21,HOTEL,0:49:10,14:01:25
22,HOSTAL,8:34:41,21:19:17
23,HOSTAL,7:16:29,13:40:12
24,HOTEL,9:49:47,20:16:03
25,HOTEL,8:20:02,21:06:36
26,HOTEL,6:26:17,14:17:11
27,HOSTAL,3:13:06,22:40:53
28,HOSTAL,9:55:56,17:55:19
29,HOSTAL,0:52:53,20:55:31
30,HOTEL,6:59:47,17:30:08
31,HOSTAL,4:41:42,15:06:11
32,HOTEL,1:18:02,14:32:06
33,HOSTAL,9:41:18,13:03:37
34,HOTEL,0:51:55,20:07:57
35,HOTEL,7:42:38,19:09:46
36,HOSTAL,11:49:59,19:21:56
37,HOTEL,0:31:02,19:08:31
38,HOSTAL,11:59:47,19:33:13
39,HOSTAL,5:28:18,20:43:24
40,HOSTAL,6:50:39,14:54:19
41,HOTEL,9:31:55,14:37:41
42,HOSTAL,0:27:19,13:56:56
43,HOSTAL,5:48:56,22:58:08
44,HOSTAL,1:27:12,21:56:37
45,HOTEL,10:18:30,15:39:23
46,HOTEL,6:54:41,15:59:04
47,HOTEL,6:52:59,19:19:22
48,HOTEL,0:53:03,17:43:47
49,HOSTAL,1:05:26,15:01:12
