oferta,servicio,incluido
2,1,0
2,2,0
4,3,1
4,4,1
6,5,0
6,6,0
8,7,0
8,1,0
10,2,1
10,3,1
12,4,1
12,5,1
14,6,1
14,7,1
16,1,1
16,2,0
18,3,0
18,4,0
20,5,1
20,6,0
22,7,0
22,1,1
24,2,0
24,3,0
26,4,1
26,5,1
28,6,1
28,7,0
30,1,0
30,2,0
32,3,1
32,4,0
34,5,0
34,6,0
36,7,0
36,1,0
38,2,0
38,3,0
40,4,1
40,5,0
42,6,0
42,7,1
44,1,1
44,2,1
46,3,0
46,4,0
48,5,1
48,6,0
50,7,1
50,1,1
52,2,1
52,3,0
54,4,0
54,5,0
56,6,0
56,7,0
58,1,1
58,2,1
60,3,1
60,4,1
62,5,0
62,6,1
64,7,1
64,1,1
66,2,0
66,3,1
68,4,1
68,5,0
70,6,1
70,7,1
72,1,1
72,2,1
74,3,1
74,4,1
76,5,0
76,6,0
78,7,1
78,1,0
80,2,1
80,3,1
82,4,0
82,5,1
84,6,1
84,7,0
86,1,1
86,2,0
88,3,0
88,4,1
90,5,1
90,6,0
92,7,0
92,1,1
94,2,1
94,3,0
96,4,1
96,5,0
98,6,0
98,7,1
100,1,0
100,2,1
102,3,1
102,4,0
104,5,1
104,6,0
106,7,1
106,1,1
108,2,0
108,3,0
110,4,0
110,5,1
112,6,0
112,7,1
114,1,1
114,2,0
116,3,0
116,4,1
118,5,1
118,6,1
120,7,1
120,1,0
122,2,0
122,3,1
124,4,0
124,5,0
126,6,1
126,7,1
128,1,1
128,2,1
130,3,1
130,4,1
132,5,0
132,6,0
134,7,1
134,1,1
136,2,0
136,3,0
138,4,0
138,5,1
140,6,0
140,7,1
142,1,0
142,2,0
144,3,1
144,4,1
146,5,1
146,6,1
148,7,1
148,1,0
150,2,0
150,3,1
152,4,0
152,5,1
154,6,0
154,7,0
156,1,1
156,2,1
158,3,0
158,4,1
160,5,0
160,6,1
162,7,1
162,1,0
164,2,0
164,3,1
166,4,0
166,5,1
168,6,1
168,7,1
170,1,0
170,2,0
172,3,1
