id,empresa,monto,inicio_seguro,fin_seguro
1,et,8528,2020/03/11,2020/06/20
2,nulla,1092,2020/03/13,2020/07/24
3,Cras,1092,2020/03/26,2020/06/14
4,odio,7212,2020/03/11,2020/07/22
5,diam,6110,2020/02/29,2020/07/6
6,litora,1269,2020/02/27,2020/07/15
7,metus,4374,2020/03/4,2020/07/26
8,quam,856,2020/03/1,2020/07/1
9,tincidunt,7361,2020/02/26,2020/06/10
10,primis,1164,2020/03/19,2020/07/28
11,a,5186,2020/02/22,2020/06/1
12,senectus,3156,2020/02/18,2020/07/15
13,venenatis,2789,2020/02/11,2020/07/18
14,nulla,9399,2020/03/28,2020/06/24
15,conubia,4466,2020/03/18,2020/07/20
16,tincidunt,6594,2020/02/24,2020/07/11
17,felis,8339,2020/02/12,2020/06/25
18,orci,2289,2020/02/7,2020/06/24
19,tristique,1279,2020/03/31,2020/07/3
20,Nulla,3282,2020/02/1,2020/07/26
21,Class,4706,2020/03/8,2020/06/11
22,fermentum,9605,2020/02/29,2020/07/6
23,vel,2484,2020/02/3,2020/07/6
24,aptent,1775,2020/03/21,2020/07/14
25,pretium,7684,2020/03/20,2020/07/5
26,arcu,3951,2020/02/8,2020/06/3
27,Cras,2530,2020/02/7,2020/06/4
28,felis,4229,2020/02/29,2020/07/13
29,ultricies,8443,2020/03/21,2020/07/20
30,vulputate,2896,2020/02/5,2020/07/31
31,netus,9041,2020/02/4,2020/06/12
32,Praesent,855,2020/02/10,2020/07/30
33,Nulla,3359,2020/02/15,2020/07/19
34,torquent,732,2020/03/6,2020/06/7
35,semper,6728,2020/02/1,2020/07/25
36,congue,688,2020/02/21,2020/07/12
37,convallis,6851,2020/02/26,2020/07/26
38,semper,7745,2020/03/28,2020/06/29
39,mattis,7265,2020/02/3,2020/06/20
40,imperdiet,5937,2020/02/15,2020/06/23
41,amet,7885,2020/02/1,2020/07/2
42,quis,8830,2020/03/3,2020/06/20
43,quis,7530,2020/03/13,2020/06/14
44,tellus,1495,2020/03/9,2020/06/23
45,ut,1257,2020/03/14,2020/06/3
46,Nullam,6304,2020/03/26,2020/07/5
47,Lorem,2109,2020/03/29,2020/06/4
48,facilisis,803,2020/03/28,2020/06/6
49,erat,7907,2020/02/12,2020/06/8
50,tempus,2141,2020/02/23,2020/06/18
51,eleifend,7439,2020/03/9,2020/06/16
52,metus,1095,2020/03/14,2020/07/3
53,vulputate,7887,2020/02/27,2020/07/17
54,Lorem,6227,2020/02/27,2020/06/10
55,sem,2158,2020/03/6,2020/07/27
56,fames,2794,2020/02/15,2020/07/5
57,Maecenas,7134,2020/03/28,2020/06/7
58,Fusce,3471,2020/02/17,2020/07/31
59,suscipit,7685,2020/03/6,2020/06/19
60,consequat,8288,2020/03/26,2020/07/10
61,Curabitur,4249,2020/02/24,2020/06/9
62,magnis,4866,2020/03/13,2020/07/22
63,pellentesque,1487,2020/02/23,2020/06/24
64,ligula,7403,2020/02/1,2020/07/2
65,rutrum,7579,2020/03/25,2020/06/24
66,Quisque,8334,2020/03/2,2020/07/6
67,pharetra,7213,2020/03/9,2020/06/20
68,morbi,4230,2020/03/19,2020/06/9
69,elementum,2293,2020/03/19,2020/07/25
70,tortor,6750,2020/02/28,2020/06/15
71,sodales,3235,2020/02/10,2020/07/16
72,Cras,2764,2020/03/30,2020/06/27
73,mollis,4944,2020/03/21,2020/07/22
74,Nullam,4410,2020/02/3,2020/06/28
75,habitant,6351,2020/03/3,2020/07/26
76,litora,5841,2020/02/13,2020/06/30
77,id,885,2020/03/27,2020/07/4
78,neque,5613,2020/02/29,2020/06/11
79,fringilla,6785,2020/03/2,2020/06/14
80,ac,2826,2020/03/30,2020/07/20
81,conubia,3298,2020/02/4,2020/07/13
82,vel,7128,2020/03/30,2020/07/5
83,nostra,1296,2020/02/29,2020/07/29
84,massa,2272,2020/02/11,2020/07/11
85,natoque,3751,2020/03/19,2020/07/11
86,pretium,7912,2020/03/15,2020/06/28
87,pulvinar,5312,2020/03/4,2020/06/1
88,pulvinar,5638,2020/02/27,2020/06/3
89,Quisque,2678,2020/03/19,2020/06/11
90,metus,6578,2020/02/19,2020/07/16
91,consectetuer,9164,2020/02/2,2020/06/28
92,nonummy,5557,2020/02/10,2020/06/17
93,mus,6352,2020/02/10,2020/06/25
94,sollicitudin,886,2020/03/16,2020/07/27
95,bibendum,7496,2020/02/17,2020/07/7
96,ultricies,2358,2020/03/25,2020/07/5
97,fermentum,9209,2020/02/25,2020/07/4
98,mi,9413,2020/02/5,2020/06/24
99,ullamcorper,9765,2020/03/13,2020/06/10
100,erat,8888,2020/03/26,2020/06/26
101,dolor,8898,2020/02/23,2020/07/6
102,felis,1457,2020/02/23,2020/07/26
103,venenatis,813,2020/02/25,2020/06/30
104,eget,1392,2020/02/11,2020/06/26
105,mollis,7397,2020/02/13,2020/07/25
106,eu,2953,2020/03/31,2020/07/24
107,rhoncus,1807,2020/03/12,2020/06/27
108,odio,8114,2020/02/8,2020/07/12
109,commodo,6509,2020/03/17,2020/07/29
110,magnis,3358,2020/03/24,2020/06/30
111,cubilia,2277,2020/03/19,2020/06/15
112,Maecenas,2760,2020/03/4,2020/07/9
113,laoreet,6886,2020/02/1,2020/06/20
114,eget,3492,2020/02/5,2020/06/23
115,Donec,1401,2020/02/5,2020/07/17
116,quis,999,2020/02/21,2020/06/18
117,vehicula,6843,2020/03/10,2020/06/28
118,augue,2484,2020/02/24,2020/07/17
119,porttitor,8413,2020/03/13,2020/07/9
120,pretium,8803,2020/03/3,2020/06/27
121,dignissim,8571,2020/03/28,2020/07/18
122,diam,1299,2020/02/26,2020/07/23
123,accumsan,3222,2020/02/16,2020/06/28
124,enim,8544,2020/02/4,2020/06/1
125,ultricies,3973,2020/03/16,2020/06/12
126,Mauris,9038,2020/03/26,2020/07/26
127,vestibulum,6261,2020/02/10,2020/06/28
128,viverra,568,2020/02/20,2020/06/30
129,inceptos,945,2020/02/22,2020/07/15
130,viverra,3418,2020/03/5,2020/07/29
131,auctor,2865,2020/02/25,2020/07/8
132,fringilla,6339,2020/02/25,2020/06/26
133,a,9396,2020/03/13,2020/07/29
134,inceptos,6784,2020/03/12,2020/06/8
135,ornare,9801,2020/02/22,2020/07/19
136,Cras,7520,2020/02/1,2020/07/24
137,risus,6176,2020/03/9,2020/07/23
138,Nam,895,2020/03/24,2020/06/10
139,fermentum,4951,2020/03/11,2020/07/6
140,fames,6260,2020/03/30,2020/07/14
141,neque,559,2020/02/26,2020/07/28
142,aliquam,3636,2020/03/24,2020/07/7
143,netus,4324,2020/02/29,2020/07/3
144,aptent,8554,2020/02/2,2020/06/15
145,Nullam,2345,2020/03/2,2020/07/14
146,congue,2922,2020/03/17,2020/07/15
147,augue,3772,2020/03/27,2020/06/18
148,adipiscing,9786,2020/02/20,2020/06/8
149,taciti,6640,2020/02/6,2020/07/14
150,arcu,2415,2020/03/21,2020/07/17
151,Vestibulum,9580,2020/03/6,2020/07/12
