id,direccion,cupos,operador,tipo
120001,qL3EI4QTcs,4,60001,APARTAMENTO
120002,gLrsX vFSj,4,60001,APARTAMENTO
120003,wdeaL11594,1,60002,APARTAMENTO
120004,7HS8RHsQdU,3,60002,APARTAMENTO
120005,fsvNuW43YV,1,60003,APARTAMENTO
120006,T9mNcZ4S0t,1,60003,APARTAMENTO
120007,xOZPUnWPmk,2,60004,APARTAMENTO
120008,CucB8hETtN,3,60004,APARTAMENTO
120009,v7mR8oWSNr,4,60005,APARTAMENTO
120010,pdc65NB778,1,60005,APARTAMENTO
120011,Rh3gQPeigV,4,60006,APARTAMENTO
120012,qm40Rofn4Y,3,60006,APARTAMENTO
120013,lVRhu3plnp,2,60007,APARTAMENTO
120014,RRjBuZsgcH,1,60007,APARTAMENTO
120015,cmog13I8DC,4,60008,APARTAMENTO
120016, BMJUMQs4A,4,60008,APARTAMENTO
120017,KRMbRLbTmR,3,60009,APARTAMENTO
120018,JQeSLd2NS5,2,60009,APARTAMENTO
120019,5iPP4dhdDG,1,60010,APARTAMENTO
120020,ZeK rDoJb6,4,60010,APARTAMENTO
120021,GLnvez0j3i,2,60011,APARTAMENTO
120022,0AH6bdiAtc,4,60011,APARTAMENTO
120023,QuESXHbEar,1,60012,APARTAMENTO
120024,vscdpNngK2,2,60012,APARTAMENTO
120025,y IwATG4qD,3,60013,APARTAMENTO
120026,k0m1bUiC2g,1,60013,APARTAMENTO
120027,5nt bdispq,3,60014,APARTAMENTO
120028,Z2OPGaZeFU,2,60014,APARTAMENTO
120029,pmF80eGKCh,4,60015,APARTAMENTO
120030,xGYNCe6Td0,1,60015,APARTAMENTO
120031,VhnhADQE0h,4,60016,APARTAMENTO
120032,XaWZWgN85E,3,60016,APARTAMENTO
120033,HiFIcj7htW,1,60017,APARTAMENTO
120034,CDMHFR0UeZ,2,60017,APARTAMENTO
120035,euVYZKARPL,2,60018,APARTAMENTO
120036,i6xrLoYskX,1,60018,APARTAMENTO
120037,qZqnlpKy4q,1,60019,APARTAMENTO
120038,aVex8sSZTf,3,60019,APARTAMENTO
120039,3EDNYV4m7X,3,60020,APARTAMENTO
120040,cksB7nOUTM,2,60020,APARTAMENTO
120041,GPPoq0a7vm,1,60021,APARTAMENTO
120042,jrd0q3Av6m,3,60021,APARTAMENTO
120043,HkQRghugi9,3,60022,APARTAMENTO
120044,E6wWirWTGD,3,60022,APARTAMENTO
120045,24dkWguLGK,4,60023,APARTAMENTO
120046,oqoYuORYXU,3,60023,APARTAMENTO
120047,tDJ4vSY0F1,1,60024,APARTAMENTO
120048,c4mR78B8KT,3,60024,APARTAMENTO
120049,CXtmp5YcmD,1,60025,APARTAMENTO
120050,QWtm60fOz5,2,60025,APARTAMENTO
120051,0Y R G3Rdo,3,60026,APARTAMENTO
120052,VM1bRO5ekp,2,60026,APARTAMENTO
120053,yvvVQDDYAG,2,60027,APARTAMENTO
120054,wJg1A6Zn6S,4,60027,APARTAMENTO
120055,C5atBRytjY,1,60028,APARTAMENTO
120056,03oIg 4zp4,4,60028,APARTAMENTO
120057,1K GvJ6jrs,1,60029,APARTAMENTO
120058,Ievi2SLnCN,3,60029,APARTAMENTO
120059,VmQsz0kf1b,1,60030,APARTAMENTO
120060,NTYlf67TPA,1,60030,APARTAMENTO
120061,iY FkLvbdH,1,60031,APARTAMENTO
120062,F4NBI7BrXe,2,60031,APARTAMENTO
120063,fqGlCPRBDz,4,60032,APARTAMENTO
120064,AziClP8anm,4,60032,APARTAMENTO
120065,MfCtkacbb ,3,60033,APARTAMENTO
120066,CufUUQKlxN,2,60033,APARTAMENTO
120067,mEhxJUsSRw,4,60034,APARTAMENTO
120068,eLCusMUJnP,3,60034,APARTAMENTO
120069,d 4LHksU2D,3,60035,APARTAMENTO
120070,wgpIWZg6 u,2,60035,APARTAMENTO
120071,mLAPLLiNGl,3,60036,APARTAMENTO
120072,ARlgP3QMl7,1,60036,APARTAMENTO
120073,1qL9VUqAjj,1,60037,APARTAMENTO
120074,bgE6N9kQNZ,1,60037,APARTAMENTO
120075,SRNpK4h7Ta,4,60038,APARTAMENTO
120076,nGTfhTZpb5,2,60038,APARTAMENTO
120077,jeIKPz2RJM,1,60039,APARTAMENTO
120078,YZbA2tw6bS,3,60039,APARTAMENTO
120079,YaNRd5lMo8,4,60040,APARTAMENTO
120080,9N3pUx3B L,2,60040,APARTAMENTO
120081, Zda0DZnzf,2,60041,APARTAMENTO
120082,77j7ZmbUuN,4,60041,APARTAMENTO
120083,8nldmnGyf ,2,60042,APARTAMENTO
120084,Z1ssn8ACSU,1,60042,APARTAMENTO
120085,AQveODJAZd,2,60043,APARTAMENTO
120086,axDm10Zkfl,1,60043,APARTAMENTO
120087,R7Eyfoh1we,1,60044,APARTAMENTO
120088,xyWyX9C8MC,1,60044,APARTAMENTO
120089,WO8ktc4TkD,2,60045,APARTAMENTO
120090,nXerL6tw9N,3,60045,APARTAMENTO
120091,bqABoBOBxY,2,60046,APARTAMENTO
120092,DQyTdCRZCZ,4,60046,APARTAMENTO
