id,direccion,cupos,operador,tipo
150001,Nc2niFOjVz,3,75001,ESPORADICO
150002,PiztMJkMjN,1,75001,ESPORADICO
150003,HwEeInf5xl,1,75002,ESPORADICO
150004,Dwlw XlMit,2,75002,ESPORADICO
150005,iFxLpMQgP1,1,75003,ESPORADICO
150006,RFdEA4ZsaE,1,75003,ESPORADICO
150007,29Cd8Wjmdq,3,75004,ESPORADICO
150008,6 exZ7cOCK,4,75004,ESPORADICO
150009,3SOq3Ot4h3,3,75005,ESPORADICO
150010,QaQsTPkbkA,3,75005,ESPORADICO
150011,ae 8YDyjIO,3,75006,ESPORADICO
150012,oV1qb0dK3u,4,75006,ESPORADICO
150013,AQe4rSAphj,1,75007,ESPORADICO
150014,r2vvXX97DV,2,75007,ESPORADICO
150015,CFCtYzhSAj,1,75008,ESPORADICO
150016,sB6EX yy3A,4,75008,ESPORADICO
150017,jmOL4yzDtG,4,75009,ESPORADICO
150018,fAT2mxjFtD,3,75009,ESPORADICO
150019,0w5d 76pIm,2,75010,ESPORADICO
150020,dcMwz0vl7D,3,75010,ESPORADICO
150021,H1Wjl9550S,2,75011,ESPORADICO
150022,VvOOHx2U8o,1,75011,ESPORADICO
150023,qH1KPO8BAd,1,75012,ESPORADICO
150024,5Ddiex16vC,3,75012,ESPORADICO
150025,P41BMXN3Ni,3,75013,ESPORADICO
150026,s5tKeJ0 BW,3,75013,ESPORADICO
150027,epFGuhZUXv,1,75014,ESPORADICO
150028,M2WyDymQyo,2,75014,ESPORADICO
150029,5PTLMJpJLw,3,75015,ESPORADICO
150030,mYcgCU8SMy,1,75015,ESPORADICO
150031,2NkdUn2qYq,2,75016,ESPORADICO
150032,eprhNBxX8m,4,75016,ESPORADICO
150033,WJ86j8BMTD,1,75017,ESPORADICO
150034,aHpUWpbfAA,1,75017,ESPORADICO
150035,EaLJhQtZxa,3,75018,ESPORADICO
150036,mIi5LM2vQC,2,75018,ESPORADICO
150037,Evbl7dmSMX,4,75019,ESPORADICO
150038,0 ykwNpiqS,2,75019,ESPORADICO
150039,FK7 vPiepD,2,75020,ESPORADICO
150040,s5nAlANR73,4,75020,ESPORADICO
150041,AoF33GVgGN,3,75021,ESPORADICO
150042,0f8041l8cW,4,75021,ESPORADICO
150043,tdZXGcMlfA,1,75022,ESPORADICO
150044,wg2lHrU0hI,1,75022,ESPORADICO
150045,4xz0mgyB y,2,75023,ESPORADICO
150046,jczD4FKXx6,3,75023,ESPORADICO
150047,mDcI6VFoup,4,75024,ESPORADICO
150048,8yonCCPHac,1,75024,ESPORADICO
150049,DuGCgoTl02,3,75025,ESPORADICO
150050,OWsEKJVY3K,4,75025,ESPORADICO
150051,3uwuFzmE5V,2,75026,ESPORADICO
150052, OhLbF2ZOn,2,75026,ESPORADICO
150053,mMU9DC nEm,3,75027,ESPORADICO
150054,OQZ7L02Sp1,3,75027,ESPORADICO
150055,fRRpAxl8uB,3,75028,ESPORADICO
150056,wxqGLagkw2,4,75028,ESPORADICO
150057,pUwpIsQfug,3,75029,ESPORADICO
150058,vXswn5xJ57,3,75029,ESPORADICO
150059,PimXeipV33,2,75030,ESPORADICO
150060,YEQFBi3FUO,4,75030,ESPORADICO
150061,v uBnVlD3f,3,75031,ESPORADICO
150062,TbGKGNf2X7,4,75031,ESPORADICO
150063,Up3lCAGwPy,2,75032,ESPORADICO
150064,CVQwp7Ad4h,2,75032,ESPORADICO
150065,VVZlpF7Ccs,2,75033,ESPORADICO
150066,R6VG YBvMm,1,75033,ESPORADICO
150067,xyLP70oF z,2,75034,ESPORADICO
150068,hbPNhZ1NQd,4,75034,ESPORADICO
150069,CwWpT5wky7,4,75035,ESPORADICO
150070,UQzqwJjMse,1,75035,ESPORADICO
150071,m6aDxHIPmN,3,75036,ESPORADICO
150072,7kPDRCbqAz,2,75036,ESPORADICO
150073,Pz4HVbCMV8,2,75037,ESPORADICO
150074,5zme5VPjaC,1,75037,ESPORADICO
150075,VaF5nCaq7 ,1,75038,ESPORADICO
150076,G2iBAftebh,2,75038,ESPORADICO
150077,S5xBrBWZJh,2,75039,ESPORADICO
150078,5GxZ8ZyFRj,2,75039,ESPORADICO
150079,fZxS3lPUZJ,1,75040,ESPORADICO
150080,1aB4QNSw8C,1,75040,ESPORADICO
150081,z80Bjyc7Qd,3,75041,ESPORADICO
150082,GgHbIBc Gu,4,75041,ESPORADICO
150083,mUavIxfxBB,2,75042,ESPORADICO
150084,E3I8ULs28n,2,75042,ESPORADICO
150085,Zo9q6F8FOM,2,75043,ESPORADICO
150086,U52drKDqa3,2,75043,ESPORADICO
150087,fGZe xMGsU,3,75044,ESPORADICO
150088,cCDA39eo7a,3,75044,ESPORADICO
150089,xADXDGpLbm,4,75045,ESPORADICO
150090,mmlm lpmSN,2,75045,ESPORADICO
150091,AHBst9WQYo,4,75046,ESPORADICO
150092,NsHT3ItdYY,2,75046,ESPORADICO
150093,fQT1Zg4ZbM,4,75047,ESPORADICO
150094,lAI0eR7kbL,4,75047,ESPORADICO
150095,Cji6ADTOvl,2,75048,ESPORADICO
150096,uHYlW7sZZh,2,75048,ESPORADICO
150097,Pd7NyZTsGK,3,75049,ESPORADICO
150098,6Hmg7V7Ffe,4,75049,ESPORADICO
150099,TaD1oyesjS,3,75050,ESPORADICO
150100,lQGdqn9Q36,1,75050,ESPORADICO
150101,xMqJDBTMxq,1,75051,ESPORADICO
150102,TYzQj867z2,4,75051,ESPORADICO
150103,8CiZl1VFcn,2,75052,ESPORADICO
150104,nDjcwW91K3,1,75052,ESPORADICO
150105,sQc0lKenuN,4,75053,ESPORADICO
150106,gEj1qoAXmV,3,75053,ESPORADICO
150107,Uqx MEgjjI,2,75054,ESPORADICO
150108,eOb3s2MXtJ,4,75054,ESPORADICO
150109,w8K9Hf7pcT,3,75055,ESPORADICO
150110,MhjVYO2Hz3,3,75055,ESPORADICO
150111,ozKKcwRlxm,1,75056,ESPORADICO
150112,aAAPavPoN ,2,75056,ESPORADICO
150113,F7PecPXopI,4,75057,ESPORADICO
150114,LGFgLQIGrd,1,75057,ESPORADICO
150115,qtIhqlnG1o,1,75058,ESPORADICO
150116,mMkmim1y36,3,75058,ESPORADICO
150117,6SQyfemlHb,3,75059,ESPORADICO
150118,gOZOfmjWFM,1,75059,ESPORADICO
150119,cjBgKp 98s,2,75060,ESPORADICO
150120,kNucigyBvB,2,75060,ESPORADICO
150121,3mGo4vxIRA,4,75061,ESPORADICO
150122,4fwTAur3Ru,3,75061,ESPORADICO
150123,UcaTz1L63s,1,75062,ESPORADICO
150124,1khS5ZUwmu,2,75062,ESPORADICO
150125,FCkPzUD3Y ,1,75063,ESPORADICO
150126,sy2dkT72n4,3,75063,ESPORADICO
150127,cYxDohO6mK,4,75064,ESPORADICO
150128,vDK5nek fQ,4,75064,ESPORADICO
150129,YDZXyXsaQa,4,75065,ESPORADICO
150130,kCaRJ DJva,3,75065,ESPORADICO
150131,H6vge4 OB6,3,75066,ESPORADICO
150132,F4AQXhm1mh,1,75066,ESPORADICO
150133,SQJumu29qk,4,75067,ESPORADICO
150134,gRbLVo5SnY,4,75067,ESPORADICO
150135,zo4HSE0BLe,1,75068,ESPORADICO
150136,Ha13fhAI8w,4,75068,ESPORADICO
150137,21 YT4q3N6,4,75069,ESPORADICO
150138,205rkUnjLH,2,75069,ESPORADICO
150139,27lFyHmbWf,1,75070,ESPORADICO
150140,fNgAc bjO4,4,75070,ESPORADICO
150141,28fi5PGO7c,2,75071,ESPORADICO
150142,srJ2U3KoUV,3,75071,ESPORADICO
150143,Hf0G7OTWG9,1,75072,ESPORADICO
150144,iiPYyUNa T,3,75072,ESPORADICO
150145,zdg1wtgIjf,2,75073,ESPORADICO
150146, QtSRNWBem,3,75073,ESPORADICO
150147,eC43SVBFcp,2,75074,ESPORADICO
150148,ZN1x4Ky7gI,3,75074,ESPORADICO
150149,3im3xY71zb,1,75075,ESPORADICO
150150,vm19FImjjt,4,75075,ESPORADICO
150151,Qv6bD1U8uR,3,75076,ESPORADICO
150152,91VqWkhNmK,2,75076,ESPORADICO
150153,dEHyumc9wM,3,75077,ESPORADICO
150154,ZjOoOGk8qR,1,75077,ESPORADICO
150155,IjHCFwstke,2,75078,ESPORADICO
150156,lF0WO4gVeD,4,75078,ESPORADICO
150157,seeBX1a0Av,2,75079,ESPORADICO
150158,SnfvBsuRIE,1,75079,ESPORADICO
150159,Q04v0NsymK,4,75080,ESPORADICO
150160,NtqnnlHf3o,1,75080,ESPORADICO
150161,QN2qsZEtzh,1,75081,ESPORADICO
150162,4LGhfUmUi7,2,75081,ESPORADICO
150163,SLbvg7F5eo,4,75082,ESPORADICO
150164,VYP7o3 tJc,4,75082,ESPORADICO
150165,lJpVswJ8K5,2,75083,ESPORADICO
150166,tEFdDZY1qg,4,75083,ESPORADICO
150167,8xNzVIjMd4,3,75084,ESPORADICO
