id,direccion,cupos,operador,tipo
1,rcC00xPMEq,1,1,HABITACION
2,TZZ9YVy33H,4,1,HABITACION
3,3rjLQ2VtJg,1,2,HABITACION
4,Y3ruF3AMi3,3,2,HABITACION
5,6C VgCQxdj,1,3,HABITACION
6,AeJVwh6xIO,1,3,HABITACION
7,K2JYMOlG6H,2,4,HABITACION
8,SyTg8whZpe,2,4,HABITACION
9,FVs PBWbk2,4,5,HABITACION
10,hbBzHEx1mz,3,5,HABITACION
11,U9nlwt4qDV,3,6,HABITACION
12,YL3qQd3x9o,3,6,HABITACION
13,SzHWCT6qTz,3,7,HABITACION
14,7I3155gJQd,2,7,HABITACION
15,umNHrFkYyE,1,8,HABITACION
16,zhKqexnRU4,1,8,HABITACION
17,5r5dW5pqxi,1,9,HABITACION
18,1mvpXu y9i,3,9,HABITACION
19,EzSd1YWdJN,3,10,HABITACION
20,Gs4mcDOu1a,4,10,HABITACION
21,T L ZtTSTI,2,11,HABITACION
22,7dkVuzSItM,1,11,HABITACION
23,xpM88cFFtU,4,12,HABITACION
24,n5u6r3WXOu,3,12,HABITACION
25,3TEWuoPE5o,4,13,HABITACION
26, x5fYN5aK3,4,13,HABITACION
27,2GfeUPd8hh,2,14,HABITACION
28,hLM1DGTI3c,2,14,HABITACION
29,dvHiJHlFMC,3,15,HABITACION
30,k4fhm9ewL9,3,15,HABITACION
31,0TrMbhVyrm,3,16,HABITACION
32,FqVcR7tJr3,1,16,HABITACION
33,hWJ54iMqiX,1,17,HABITACION
34,stvb3qpsfg,2,17,HABITACION
35,5bC8m 5oD ,1,18,HABITACION
36,MWiDoWATY6,3,18,HABITACION
37,dCa9GEgLkj,1,19,HABITACION
38,8Mijkxy0vB,1,19,HABITACION
39,JH63VRjgJx,1,20,HABITACION
40,EEhc78PZ5t,1,20,HABITACION
41,mNIvi18qgD,3,21,HABITACION
42, veT1OL80Z,1,21,HABITACION
43,DnJajQcirA,2,22,HABITACION
44, HCIf2Ae8g,3,22,HABITACION
45,ZgWoTFa4pN,2,23,HABITACION
46,liult4EA4J,4,23,HABITACION
47,zIx8 Hy9L6,3,24,HABITACION
48,hdqXLqZn1Z,4,24,HABITACION
49,MvVIfTHlXM,2,25,HABITACION
50,TAYBMeUkL9,3,25,HABITACION
51,uPKO XdWlG,4,26,HABITACION
52,uWyoxpF6SI,4,26,HABITACION
53,cRCslNThNx,3,27,HABITACION
