id,direccion,cupos,operador,tipo
60001,jtRNEMKDxf,4,30001,CUARTO
60002,qMKs71YzRZ,2,30001,CUARTO
60003,gV41MGPtEO,2,30002,CUARTO
60004,Gn3VMUDcAb,3,30002,CUARTO
60005,njizZOLtSA,2,30003,CUARTO
60006,3WDI1wDEEL,2,30003,CUARTO
60007,sW4D4I6Wxn,1,30004,CUARTO
60008,y nDAm5CHH,1,30004,CUARTO
60009,gPIKPwsZco,4,30005,CUARTO
60010,48BApj1Jkk,3,30005,CUARTO
60011,NuOuggTdv3,4,30006,CUARTO
60012,xt5NL7QSEB,1,30006,CUARTO
60013,k2ZlDs7C0g,2,30007,CUARTO
60014,SKatJaqaxR,2,30007,CUARTO
60015,4Mzkkqlsz3,1,30008,CUARTO
60016,8XIr94qZYd,3,30008,CUARTO
60017,gMEBw6FE r,2,30009,CUARTO
60018,Iqw20at2q9,4,30009,CUARTO
60019,Yju1fZ8mPV,4,30010,CUARTO
60020,W6ggc4UAZV,4,30010,CUARTO
60021,W2s4ZifVuW,2,30011,CUARTO
60022,M2UkmOUbBd,3,30011,CUARTO
60023,qa vEMbMJc,1,30012,CUARTO
60024,e3hJSQ92lW,4,30012,CUARTO
60025,hWqYA3PZ93,2,30013,CUARTO
60026,yvPF9TCXro,1,30013,CUARTO
60027,TNpNmVNw5X,2,30014,CUARTO
60028,M4G6wN3BPY,1,30014,CUARTO
60029,AUcwKsp2iT,1,30015,CUARTO
60030,oCtlQn6CcK,1,30015,CUARTO
60031,OcnllGtuTU,3,30016,CUARTO
60032,bVPEkbN9sJ,1,30016,CUARTO
60033,JZB0F t3KX,4,30017,CUARTO
60034,gQxbHcdnFy,1,30017,CUARTO
60035,TBEjFppgUQ,1,30018,CUARTO
60036,RjCHIWKbm9,2,30018,CUARTO
60037,TA34fJ2kOT,1,30019,CUARTO
60038,86Tjr0P3hu,4,30019,CUARTO
60039,Z30K6FRzWK,3,30020,CUARTO
60040,4ek1V8RfTn,4,30020,CUARTO
60041,Qp cvGHaq7,1,30021,CUARTO
60042,W7M3VDpuDP,3,30021,CUARTO
60043,wQBuoVK08t,1,30022,CUARTO
60044,VdHreu2ghj,4,30022,CUARTO
60045,1VaBQW 3rw,1,30023,CUARTO
60046,uFqXnsSWNx,2,30023,CUARTO
60047,TvqJSlTwwU,1,30024,CUARTO
60048,pTMzD9W3wH,2,30024,CUARTO
60049,9BbpBLfGsv,2,30025,CUARTO
60050,9N4dIh5uu6,4,30025,CUARTO
60051,Bst1RNDhkm,2,30026,CUARTO
60052,GvjT6SdQZh,1,30026,CUARTO
60053,yRhm3lyb1 ,3,30027,CUARTO
60054,pp4PE3LeqZ,4,30027,CUARTO
60055,Ysvqd0t6PM,3,30028,CUARTO
60056,GDV8QNYuIS,4,30028,CUARTO
60057,6KglCVPEQM,3,30029,CUARTO
60058,gfg82TZNQv,1,30029,CUARTO
60059,7w8WzFe Mo,3,30030,CUARTO
60060,9YYHFnLFTQ,4,30030,CUARTO
60061,1ijpEgHMCA,4,30031,CUARTO
60062,ciw2 3p 1E,1,30031,CUARTO
60063,JQDnWYoTmT,4,30032,CUARTO
60064,yLLB9FXE6 ,3,30032,CUARTO
60065,mIKceRBbRE,1,30033,CUARTO
60066,RaeyP7jJRr,1,30033,CUARTO
60067,T3Ga25jSmL,3,30034,CUARTO
60068,3GyDjFkgQd,3,30034,CUARTO
60069,gg4OIRdjha,2,30035,CUARTO
60070,NgzeyOTkVH,2,30035,CUARTO
60071,4FCQ7Ah7PP,2,30036,CUARTO
60072,B1Tsq7Kh3D,2,30036,CUARTO
60073,KkPdFYV05V,3,30037,CUARTO
60074,9yU188iA3E,3,30037,CUARTO
60075,pfED5zkkaq,3,30038,CUARTO
60076,QfENLEDQLg,2,30038,CUARTO
60077,j yh5V3QMx,4,30039,CUARTO
60078,hLS0JpgdiJ,4,30039,CUARTO
60079,C8r55uWOj9,3,30040,CUARTO
60080,lYETZnWFYZ,1,30040,CUARTO
60081,WITdnkcr P,1,30041,CUARTO
60082,CF1G5oFlu7,3,30041,CUARTO
60083,2 dSezOw a,3,30042,CUARTO
60084,NCJk7be16a,3,30042,CUARTO
60085,otHikaxaVQ,1,30043,CUARTO
60086,AO62h1VcUL,1,30043,CUARTO
60087,HKurzgGbrD,1,30044,CUARTO
60088,ZrqB8paCUV,3,30044,CUARTO
60089,vmbecD6miD,2,30045,CUARTO
60090,t7fLG9FDcm,3,30045,CUARTO
60091,OLQNqBbwLG,2,30046,CUARTO
60092,u56WX79aWO,1,30046,CUARTO
60093,7STeZvlkj8,1,30047,CUARTO
60094,Ul NVeZGg3,3,30047,CUARTO
60095,ZtLrr0obw1,1,30048,CUARTO
60096,IQbkHvMaLL,4,30048,CUARTO
60097,YwA1CxQvoO,2,30049,CUARTO
60098,kdYzUAkVb8,4,30049,CUARTO
60099, xOHdYomLl,4,30050,CUARTO
60100,5vaeXpKVmq,4,30050,CUARTO
60101,0w88KceWh6,2,30051,CUARTO
60102,aIepauNgYd,2,30051,CUARTO
60103,6bJRvWltvG,1,30052,CUARTO
60104,3IABzdR4nK,1,30052,CUARTO
60105,8uLWKS22 i,4,30053,CUARTO
60106,vmrcDJO8vg,3,30053,CUARTO
60107,Gbc5vc2XUg,4,30054,CUARTO
60108,WCuYbrCeub,4,30054,CUARTO
60109,HloDcsozJE,3,30055,CUARTO
60110,1lu4Q2Ctjs,2,30055,CUARTO
60111,J3E6 EMEnT,1,30056,CUARTO
60112,y8Jt8rYx6K,4,30056,CUARTO
60113,uMZAyPPZg1,4,30057,CUARTO
60114,zYPiVcuav5,4,30057,CUARTO
60115,yQjTb1Mox2,2,30058,CUARTO
60116,gkmbLqalnO,2,30058,CUARTO
60117,SdRfou wnX,4,30059,CUARTO
60118,QkHV2OLcjz,4,30059,CUARTO
60119,3818sQbVZi,4,30060,CUARTO
60120,0jQ0XyXOd ,2,30060,CUARTO
60121,tWZ8T7t6FE,1,30061,CUARTO
60122,Oyt8Sbma6 ,4,30061,CUARTO
60123,IAmqJ61RbS,2,30062,CUARTO
60124,skKUomEqYZ,2,30062,CUARTO
60125,FKdfKU3XSP,2,30063,CUARTO
60126,AE82IRMafV,3,30063,CUARTO
60127,CwWGLep5YR,3,30064,CUARTO
60128,hPqUHZyV7L,1,30064,CUARTO
60129,Tz62qYlWLj,2,30065,CUARTO
60130,ufOClabgp1,1,30065,CUARTO
60131,eHJ8W5Ol6d,4,30066,CUARTO
60132,c l3rFgUrI,3,30066,CUARTO
60133,I8e4hVmOtl,2,30067,CUARTO
60134,vdBw3PYu51,2,30067,CUARTO
60135,MP tNqhcYh,2,30068,CUARTO
60136,nwFZpbF4A0,2,30068,CUARTO
60137,lUnvjRO 6W,4,30069,CUARTO
60138,bIvOeI7A13,4,30069,CUARTO
60139,8meIkJhZXc,4,30070,CUARTO
60140,tOdNnK9AqQ,1,30070,CUARTO
60141,jEmqTJqk4g,1,30071,CUARTO
60142,oQGCQU3Hia,4,30071,CUARTO
60143,NFPTTrlT1H,1,30072,CUARTO
60144,XkjF46GGLq,2,30072,CUARTO
60145,QQSPqXtRDX,4,30073,CUARTO
60146,BjZJ6y6Ry8,4,30073,CUARTO
60147,URzDpvWjKk,2,30074,CUARTO
60148,VLV5TO2rQ6,1,30074,CUARTO
60149, kIFu04Tvf,1,30075,CUARTO
60150,iabm3b4xgf,1,30075,CUARTO
60151,5c1KP8I44b,3,30076,CUARTO
60152,2LrpA8efvv,4,30076,CUARTO
60153,zA0dxdc77n,3,30077,CUARTO
60154,FXBAKxiN3n,3,30077,CUARTO
60155,NwvgJELLCl,2,30078,CUARTO
60156,dJUI NF0h3,2,30078,CUARTO
60157,UgvNnGk1YL,1,30079,CUARTO
60158,Ajcw3Osz K,3,30079,CUARTO
60159,yM2re8Pws ,2,30080,CUARTO
60160,qaes7FRxdh,2,30080,CUARTO
60161,R4gyerwhEI,3,30081,CUARTO
60162,MEEAP0F6GY,2,30081,CUARTO
60163,FP1Ei3ZXDo,2,30082,CUARTO
60164,FRKITW2HF4,2,30082,CUARTO
60165,ZdCay032Yh,3,30083,CUARTO
60166,uD4pOeFW72,3,30083,CUARTO
60167,WZhhy8UQlE,4,30084,CUARTO
60168,d1Fod1ennH,2,30084,CUARTO
60169,gJCC00wgdz,2,30085,CUARTO
60170,18 msMdCs ,1,30085,CUARTO
60171,8QG3FedziS,4,30086,CUARTO
60172,A3LJbIocPN,4,30086,CUARTO
60173,Jc j4hFApl,4,30087,CUARTO
60174,o3xtUxEPXa,3,30087,CUARTO
60175,VNQfxdOLrT,4,30088,CUARTO
60176,MtvQu9bDri,3,30088,CUARTO
60177,Lu4PZauFfO,4,30089,CUARTO
60178,Gf085ftAma,4,30089,CUARTO
60179,63FGenLMck,1,30090,CUARTO
